method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
kedavra,arith,ase21-r0,1.0±0.0,1.0±0.0,1.0±0.0,4.57±0.18,3.85±0.17,588.7±17.92,83262.0±13705.34,6.0±0.0,29.0±0.0,1.17±0.0,34.0±0.0,16.0±0.0,109.37±36.92,77502.4±13474.94
kedavra,curl,ase21-r0,1.0±0.0,0.11±0.12,0.18±0.19,312.37±81.78,294.07±70.84,16984.2±263.68,34580.8±850.82,19.6±1.51,137.8±10.05,1.17±0.03,160.8±9.87,80.0±0.0,38.44±4.28,29112.0±836.79
kedavra,curl,r1,0.99±0.03,0.22±0.03,0.36±0.05,308.29±9.09,286.06±6.0,17467.1±214.99,35908.4±717.53,20.0±2.31,121.2±2.25,1.16±0.02,140.1±5.45,80.0±0.0,45.73±3.54,29639.6±714.5
kedavra,curl,r2,1.0±0.01,0.29±0.1,0.44±0.16,350.95±48.87,313.18±21.57,18632.4±1153.98,35409.6±2623.15,18.9±1.85,134.5±8.91,1.15±0.02,154.6±8.71,78.0±0.0,44.67±16.71,28921.2±3000.31
kedavra,fol,ase21-r0,0.99±0.04,0.55±0.18,0.69±0.14,667.23±202.2,523.42±70.5,58022.89±5488.87,80337.78±9215.81,11.11±1.17,145.33±1.58,1.3±0.0,189.44±1.81,79.89±0.33,20.44±8.02,27760.0±3935.65
kedavra,json,ase21-h,1.0±0.0,0.97±0.02,0.99±0.01,43.39±4.88,23.56±1.88,3622.0±250.0,108913.2±67663.77,14.0±0.0,115.2±0.42,1.19±0.0,137.2±0.42,74.0±0.0,5.62±0.69,22127.2±324.07
kedavra,json,r1,1.0±0.0,0.95±0.04,0.98±0.02,83.63±45.95,46.52±3.32,7122.7±501.61,131651.6±30801.2,12.8±0.42,113.8±0.42,1.2±0.0,136.8±0.42,74.0±0.0,5.21±0.58,22094.4±132.92
kedavra,json,r2,1.0±0.0,0.91±0.0,0.95±0.0,41.22±5.92,27.74±1.47,4318.5±186.2,127423.6±44980.64,10.1±0.32,101.2±0.63,1.2±0.0,121.4±1.26,74.0±0.0,4.55±0.79,22175.6±389.31
kedavra,lisp,ase21-h,1.0±0.0,1.0±0.0,1.0±0.0,16.49±0.43,14.21±0.39,2160.8±34.98,119339.2±52265.09,5.0±0.0,69.0±0.0,1.16±0.0,80.0±0.0,40.0±0.0,54.93±12.32,31376.4±1019.83
kedavra,lisp,r1,1.0±0.0,1.0±0.0,1.0±0.0,267.8±2.63,249.64±2.34,15956.3±78.51,124140.8±46929.2,5.0±0.0,69.0±0.0,1.16±0.0,80.0±0.0,40.0±0.0,54.52±11.42,31342.8±1233.19
kedavra,lisp,r2,1.0±0.0,1.0±0.0,1.0±0.0,121.32±1.84,116.25±1.84,10879.4±88.57,120219.6±31437.08,5.0±0.0,69.0±0.0,1.16±0.0,80.0±0.0,40.0±0.0,45.65±7.94,31494.4±900.19
kedavra,mathexpr,ase21-r0,0.94±0.03,0.92±0.1,0.93±0.07,642.75±508.49,171.4±79.56,20887.44±7352.89,112999.11±53113.88,17.78±0.44,180.56±0.53,1.13±0.0,204.56±0.53,72.0±0.0,266.93±206.03,100474.22±50459.66
kedavra,minic,r0,1.0±0.0,0.48±0.0,0.65±0.0,8942.8±1297.8,8679.02±1191.71,32685.1±5183.1,130760.4±134026.57,18.6±0.52,74.0±0.82,1.68±0.02,124.2±2.39,55.0±0.0,11.57±15.57,21812.8±94.8
kedavra,tinyc,ase21-r0,1.0±0.0,1.0±0.0,1.0±0.0,169.72±11.72,87.43±5.31,20467.8±770.53,35527.6±638.98,9.4±0.52,56.4±0.52,1.57±0.01,88.4±0.52,49.0±0.0,32.48±1.84,24806.8±205.75
kedavra,tinyc,r1,1.0±0.0,1.0±0.0,1.0±0.0,155.37±10.89,92.73±5.65,21769.7±1066.34,36852.8±615.95,9.8±0.42,56.8±0.42,1.56±0.0,88.8±0.42,49.0±0.0,33.05±2.4,24973.6±193.42
kedavra,tinyc,r2,1.0±0.0,1.0±0.0,1.0±0.0,120.41±8.51,65.15±3.13,15789.6±578.51,33444.8±442.04,9.6±0.52,56.6±0.52,1.57±0.01,88.6±0.52,49.0±0.0,31.7±1.43,24807.6±236.16
kedavra,tinyc,r5,1.0±0.0,1.0±0.0,1.0±0.0,251.78±53.49,125.77±41.97,23446.9±2272.69,46321.2±1941.1,9.4±0.52,56.8±1.03,1.58±0.01,89.6±2.07,49.0±0.0,49.31±48.23,24848.0±245.38
kedavra,turtle,ase21-h,1.0±0.0,1.0±0.0,1.0±0.0,35.23±1.79,29.41±1.41,4550.5±160.74,27143.2±564.93,11.0±0.0,86.0±0.0,1.21±0.0,104.0±0.0,67.0±0.0,8.47±1.06,24279.6±524.1
kedavra,turtle,r1,1.0±0.0,1.0±0.0,1.0±0.0,154.97±2.73,132.32±2.68,19042.1±149.39,31675.6±388.3,11.0±0.0,86.0±0.0,1.21±0.0,104.0±0.0,67.0±0.0,9.9±1.92,24396.8±742.61
kedavra,turtle,r2,1.0±0.0,1.0±0.0,1.0±0.0,116.75±11.28,102.93±8.28,13285.4±1123.98,29315.6±504.55,11.0±0.0,86.0±0.0,1.21±0.0,104.0±0.0,67.0±0.0,7.14±1.15,24501.2±784.84
kedavra,while,ase21-h,1.0±0.0,1.0±0.0,1.0±0.0,480.62±103.89,374.52±90.69,41515.7±8655.41,105460.8±49461.8,6.3±0.48,16.3±0.48,3.33±0.07,54.3±0.48,18.0±0.0,24.23±1.16,35038.8±1619.79
kedavra,while,r1,1.0±0.0,1.0±0.0,1.0±0.0,1616.19±140.87,1469.32±130.84,123817.5±6540.37,280894.4±184426.93,6.6±0.7,16.6±0.7,3.29±0.09,54.6±0.7,18.0±0.0,29.52±2.17,35016.0±1308.21
kedavra,while,r2,1.0±0.0,1.0±0.0,1.0±0.0,7306.6±821.53,7013.07±817.58,228372.2±6027.34,621341.2±58055.27,7.0±0.82,17.7±1.25,3.31±0.07,58.5±3.14,18.0±0.0,31.86±3.91,32201.2±2055.2
kedavra,xml,ase21-h,1.0±0.0,1.0±0.0,1.0±0.0,624.08±78.95,531.9±72.33,59954.4±5993.57,88963.6±2613.8,9.1±0.32,123.2±0.63,1.36±0.02,167.9±2.85,58.0±0.0,13.45±0.61,22873.6±169.54
kedavra,xml,r1,1.0±0.0,1.0±0.0,1.0±0.0,940.37±111.71,821.54±99.24,88043.2±8609.3,97709.6±6837.01,7.2±0.42,120.4±0.84,1.48±0.02,177.8±3.79,58.0±0.0,9.9±1.98,22019.2±169.35
kedavra,xml,r2,1.0±0.0,0.95±0.0,0.97±0.0,1603.2±351.39,1430.88±326.16,125945.1±15577.64,178270.8±33790.69,9.4±0.7,122.7±1.16,1.39±0.08,170.2±9.99,58.0±0.0,11.87±1.35,22656.8±234.85
