method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,arith,ase21-r0,1.0±0.0,1.0±0.0,1.0±0.0,3.15±0.25,2.86±0.24,461.0±33.25,17616.4±86.93,6.4±0.52,30.8±1.03,1.22±0.03,37.6±2.07,16.0±0.0,52.12±8.31,73495.6±10140.02
arvada,curl,ase21-r0,0.58±0.08,0.92±0.02,0.71±0.06,421.5±96.72,385.33±88.37,21187.1±2198.59,42937.2±3749.54,23.5±2.42,166.6±12.47,1.4±0.03,234.0±17.13,87.4±9.28,720.59±469.33,66038.0±32579.5
arvada,curl,r1,0.56±0.11,0.94±0.02,0.69±0.1,442.91±25.38,402.97±23.73,22340.8±1297.32,54060.0±1250.27,23.4±2.17,181.2±22.91,1.4±0.04,253.3±25.84,94.6±16.36,872.16±380.07,68447.6±13266.06
arvada,curl,r2,0.56±0.11,0.82±0.2,0.65±0.13,430.55±74.66,391.24±66.74,23104.4±3810.85,49692.0±5425.72,22.8±2.74,170.9±14.26,1.43±0.04,245.0±18.59,85.1±8.09,1059.82±399.77,95020.8±28023.86
arvada,fol,ase21-r0,0.99±0.03,0.73±0.31,0.8±0.23,330.82±43.81,201.09±25.19,28282.1±3259.24,30629.6±809.12,18.0±1.7,98.2±2.49,1.47±0.06,144.7±7.87,80.0±0.0,37.38±25.03,43854.8±20871.58
arvada,json,ase21-h,0.91±0.09,0.97±0.09,0.93±0.06,73.99±9.99,47.75±4.51,6437.8±534.84,20485.2±286.22,16.1±0.99,118.1±2.23,1.25±0.02,147.1±4.38,74.4±0.84,6.5±1.12,22160.0±624.09
arvada,json,r1,0.71±0.15,0.98±0.0,0.82±0.1,168.16±40.71,108.64±20.21,13908.4±2583.96,46558.4±5911.15,31.4±2.76,157.5±6.36,1.38±0.02,217.2±10.36,74.0±0.0,15.12±3.92,24451.2±834.97
arvada,json,r2,0.75±0.17,0.98±0.0,0.84±0.11,86.52±16.82,59.56±7.86,9447.0±1337.56,23520.8±573.84,20.1±2.38,125.5±4.48,1.29±0.03,161.9±8.1,74.0±0.0,11.97±1.65,22786.0±357.04
arvada,lisp,ase21-h,0.97±0.06,0.38±0.26,0.5±0.19,15.66±4.34,13.3±2.42,2205.3±383.06,18180.8±98.63,11.1±1.1,61.0±19.17,1.24±0.06,74.9±18.86,42.6±8.22,12.4±25.27,22293.6±4665.44
arvada,lisp,r1,0.9±0.11,0.69±0.4,0.69±0.29,10433.25±2202.98,2083.56±1683.71,40656.9±25609.66,18283689.2±22285863.73,21.9±10.71,103.5±31.1,9.61±9.74,738.2±627.64,40.0±0.0,271.74±277.58,53108.4±25939.19
arvada,lisp,r2,0.68±0.15,0.96±0.08,0.78±0.09,1191.04±344.43,590.81±190.92,36167.2±8367.83,181987.2±60652.21,27.6±2.8,113.8±8.38,2.08±0.53,236.4±60.06,40.0±0.0,273.86±76.9,59781.2±9954.01
