method,grammar,seed,f1,time
arvada,arith,ase21-r0,1.0±0.0,3.15±0.25
arvada,curl,ase21-r0,0.71±0.06,421.5±96.72
arvada,fol,ase21-r0,0.8±0.23,330.82±43.81
arvada,json,ase21-h,0.93±0.06,73.99±9.99
arvada,lisp,ase21-h,0.5±0.19,15.66±4.34
arvada,mathexpr,ase21-r0,0.83±0.13,58.04±7.38
arvada,tinyc,ase21-r0,0.6±0.29,8516.26±2446.35
arvada,turtle,ase21-h,1.0±0.0,79.51±10.73
arvada,while,ase21-h,0.84±0.15,47.42±5.81
arvada,xml,ase21-h,0.98±0.06,174.91±32.94
treevada,arith,ase21-r0,1.0±0.0,2.25±0.05
treevada,curl,ase21-r0,0.75±0.0,357.84±6.96
treevada,fol,ase21-r0,0.69±0.0,154.77±0.98
treevada,json,ase21-h,0.96±0.0,40.61±1.06
treevada,lisp,ase21-h,0.71±0.0,12.81±0.85
treevada,mathexpr,ase21-r0,0.64±0.0,49.14±0.62
treevada,tinyc,ase21-r0,0.81±0.0,2701.6±58.67
treevada,turtle,ase21-h,1.0±0.0,43.4±0.29
treevada,while,ase21-h,0.38±0.0,27.01±0.26
treevada,xml,ase21-h,1.0±0.0,145.99±6.65
