method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,arith,ase21-r0,1.0,1.0,1.0,3.140371084213257,2.8620657920837402,451.0,17680.0,6.0,30.0,1.2,36.0,16.0,49.53371810913086,64376.0
arvada,arith,ase21-r0,1.0,1.0,1.0,3.2584586143493652,3.0311100482940674,464.0,17620.0,6.0,30.0,1.2,36.0,16.0,52.96056151390076,66556.0
arvada,arith,ase21-r0,1.0,1.0,1.0,2.6784133911132812,2.4548165798187256,409.0,17500.0,6.0,30.0,1.2,36.0,16.0,48.652926206588745,66496.0
arvada,arith,ase21-r0,1.0,1.0,1.0,2.9244935512542725,2.642575263977051,428.0,17548.0,6.0,30.0,1.2,36.0,16.0,52.118958950042725,64356.0
arvada,arith,ase21-r0,1.0,1.0,1.0,2.9894678592681885,2.6787872314453125,429.0,17696.0,7.0,32.0,1.25,40.0,16.0,67.25443387031555,85280.0
arvada,arith,ase21-r0,1.0,1.0,1.0,3.3230817317962646,2.980956792831421,473.0,17684.0,7.0,32.0,1.25,40.0,16.0,62.177595138549805,85720.0
arvada,arith,ase21-r0,1.0,1.0,1.0,3.1316659450531006,2.8537564277648926,459.0,17748.0,6.0,30.0,1.2,36.0,16.0,44.34365677833557,66656.0
arvada,arith,ase21-r0,1.0,1.0,1.0,3.165501356124878,2.849991798400879,489.0,17624.0,7.0,32.0,1.25,40.0,16.0,48.94881319999695,85560.0
arvada,arith,ase21-r0,1.0,1.0,1.0,3.606505870819092,3.3309507369995117,518.0,17492.0,6.0,30.0,1.2,36.0,16.0,38.63577651977539,65584.0
arvada,arith,ase21-r0,1.0,1.0,1.0,3.2820043563842773,2.9530391693115234,490.0,17572.0,7.0,32.0,1.25,40.0,16.0,56.598827600479126,84372.0
arvada,fol,ase21-r0,1.0,0.39,0.5611510791366906,328.4888365268707,203.64616751670837,28640.0,31528.0,19.0,100.0,1.58,158.0,80.0,12.226806163787842,24120.0
arvada,fol,ase21-r0,1.0,0.377,0.5475671750181554,356.8235590457916,213.27115964889526,30227.0,29428.0,19.0,99.0,1.4747474747474747,146.0,80.0,14.585530757904053,27632.0
arvada,fol,ase21-r0,1.0,1.0,1.0,334.9891765117645,201.50299167633057,28439.0,29992.0,16.0,95.0,1.431578947368421,136.0,80.0,50.661723136901855,51088.0
arvada,fol,ase21-r0,1.0,1.0,1.0,346.9365015029907,209.38480973243713,29630.0,30084.0,18.0,99.0,1.4242424242424243,141.0,80.0,59.41817378997803,69292.0
arvada,fol,ase21-r0,1.0,0.331,0.49737039819684453,350.27383160591125,217.53681302070618,30521.0,31284.0,18.0,97.0,1.5463917525773196,150.0,80.0,11.096057415008545,26144.0
arvada,fol,ase21-r0,1.0,1.0,1.0,274.85977959632874,167.8718466758728,23709.0,30684.0,15.0,95.0,1.4,133.0,80.0,80.82825040817261,80656.0
arvada,fol,ase21-r0,1.0,1.0,1.0,299.90135741233826,183.6184196472168,25828.0,32072.0,18.0,99.0,1.494949494949495,148.0,80.0,53.45693016052246,35256.0
arvada,fol,ase21-r0,1.0,1.0,1.0,421.5118758678436,251.8420169353485,34296.0,30556.0,21.0,103.0,1.4854368932038835,153.0,80.0,53.571109771728516,64660.0
arvada,fol,ase21-r0,0.905,0.773,0.83380810488677,271.11456871032715,166.3871190547943,23636.0,30684.0,17.0,96.0,1.4375,138.0,80.0,24.058722257614136,30724.0
arvada,fol,ase21-r0,1.0,0.39,0.5611510791366906,323.33465480804443,195.8635573387146,27895.0,29984.0,19.0,99.0,1.4545454545454546,144.0,80.0,13.946548461914062,28976.0
arvada,mathexpr,ase21-r0,0.997,0.897,0.9443600844772967,44.815216064453125,36.130473375320435,5708.0,20132.0,18.0,109.0,1.2660550458715596,138.0,71.0,68.08607220649719,69656.0
arvada,mathexpr,ase21-r0,0.934,0.897,0.9151261605679957,66.15515899658203,48.58476948738098,7687.0,20920.0,21.0,116.0,1.293103448275862,150.0,71.0,122.01842761039734,82136.0
arvada,mathexpr,ase21-r0,0.974,0.9,0.935538954108858,58.87612581253052,44.5148663520813,7056.0,20300.0,23.0,117.0,1.2820512820512822,150.0,71.0,76.11945486068726,72228.0
arvada,mathexpr,ase21-r0,0.971,0.897,0.93253426124197,49.90032243728638,39.83832931518555,6355.0,20432.0,19.0,111.0,1.2702702702702702,141.0,71.0,78.31528186798096,62520.0
arvada,mathexpr,ase21-r0,0.941,0.9,0.9200434546442151,68.15896677970886,49.16347885131836,7701.0,21080.0,22.0,121.0,1.2975206611570247,157.0,71.0,139.8965721130371,115516.0
arvada,mathexpr,ase21-r0,0.998,0.509,0.6741632382216324,61.87929320335388,45.7787663936615,7106.0,20524.0,24.0,119.0,1.2857142857142858,153.0,71.0,18.52383852005005,26252.0
arvada,mathexpr,ase21-r0,0.996,0.475,0.643235893949694,54.14122009277344,40.78796076774597,6458.0,20600.0,21.0,116.0,1.3017241379310345,151.0,71.0,12.502408504486084,26860.0
arvada,mathexpr,ase21-r0,0.964,0.55,0.7003963011889036,53.69089078903198,41.20763659477234,6466.0,20508.0,22.0,117.0,1.2735042735042734,149.0,71.0,21.086477279663086,27820.0
arvada,mathexpr,ase21-r0,0.919,0.928,0.9234780725500813,63.440741777420044,46.779605865478516,7284.0,21064.0,24.0,123.0,1.3089430894308942,161.0,71.0,95.86937308311462,75300.0
arvada,mathexpr,ase21-r0,0.967,0.506,0.6643611676849966,59.36808633804321,44.896820068359375,7166.0,20556.0,22.0,116.0,1.2758620689655173,148.0,71.0,18.05340337753296,28116.0
arvada,json,ase21-h,0.989,1.0,0.9944695827048768,82.60042428970337,50.37887978553772,6827.0,20612.0,17.0,119.0,1.2521008403361344,149.0,74.0,6.301668167114258,23244.0
arvada,json,ase21-h,0.997,1.0,0.99849774661993,74.08058524131775,51.22417092323303,6412.0,20864.0,17.0,120.0,1.25,150.0,74.0,6.6506617069244385,22224.0
arvada,json,ase21-h,0.99,1.0,0.9949748743718593,65.61816740036011,44.29986643791199,5855.0,20340.0,16.0,118.0,1.2796610169491525,151.0,74.0,6.083646774291992,22392.0
arvada,json,ase21-h,0.993,1.0,0.9964877069744105,67.90676307678223,46.60094857215881,6362.0,20192.0,16.0,116.0,1.2241379310344827,142.0,74.0,5.23592209815979,21884.0
arvada,json,ase21-h,0.856,1.0,0.9224137931034483,57.318880558013916,40.15495777130127,6053.0,20280.0,16.0,116.0,1.2327586206896552,143.0,74.0,6.890020370483398,21680.0
arvada,json,ase21-h,0.874,1.0,0.9327641408751334,78.96983981132507,44.74004030227661,7093.0,20684.0,15.0,116.0,1.2586206896551724,146.0,74.0,8.339226007461548,22300.0
arvada,json,ase21-h,0.781,1.0,0.8770353733857383,84.04062962532043,52.38136005401611,6861.0,20224.0,14.0,117.0,1.2393162393162394,145.0,76.0,7.490508317947388,22068.0
arvada,json,ase21-h,0.776,1.0,0.8738738738738739,62.465625286102295,43.14674139022827,5409.0,20164.0,17.0,117.0,1.2222222222222223,143.0,74.0,6.803766965866089,22144.0
arvada,json,ase21-h,0.996,0.721,0.8364775771694816,82.80719661712646,51.94440984725952,6575.0,20948.0,17.0,123.0,1.2682926829268293,156.0,74.0,4.342740535736084,20904.0
arvada,json,ase21-h,0.846,1.0,0.9165763813651137,84.139821767807,52.636919260025024,6931.0,20544.0,16.0,119.0,1.226890756302521,146.0,76.0,6.868322849273682,22760.0
arvada,json,r1,0.739,0.98,0.8426061663757999,228.17039227485657,134.28243708610535,16223.0,51888.0,31.0,158.0,1.3860759493670887,219.0,74.0,15.004183769226074,25060.0
arvada,json,r1,0.877,0.98,0.9256435110393108,148.9145474433899,99.22506356239319,12045.0,52636.0,26.0,146.0,1.3356164383561644,195.0,74.0,13.229202508926392,23996.0
