method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.630509853363037,1.5068068504333496,205.0,17568.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.6807758808135986,20448.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.5210363864898682,1.370548963546753,202.0,17544.0,7.0,30.0,1.2666666666666666,38.0,14.0,2.1622745990753174,20504.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.4987304210662842,1.3534514904022217,198.0,17632.0,7.0,30.0,1.2666666666666666,38.0,14.0,2.389179229736328,20800.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.4359540939331055,1.3165977001190186,218.0,17632.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.7407429218292236,20388.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.5170235633850098,1.3847825527191162,211.0,17432.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.6587815284729004,20372.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.6152138710021973,1.4796054363250732,219.0,17496.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.6345319747924805,20416.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.4405980110168457,1.3180570602416992,231.0,17532.0,6.0,28.0,1.2142857142857142,34.0,14.0,2.4365394115448,20352.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.4810881614685059,1.3580093383789062,222.0,17640.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.7488830089569092,20352.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.3283827304840088,1.2270138263702393,193.0,17580.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.7083783149719238,20500.0
arvada,arith,dec-ase21-r0,1.0,0.28,0.43750000000000006,1.4763047695159912,1.3397185802459717,225.0,17616.0,6.0,28.0,1.2142857142857142,34.0,14.0,1.6492350101470947,20292.0
arvada,fol,dec-ase21-r0,1.0,1.0,1.0,201.95900988578796,128.50300288200378,19460.0,29148.0,13.0,89.0,1.3932584269662922,124.0,80.0,60.76367807388306,42852.0
arvada,fol,dec-ase21-r0,1.0,1.0,1.0,195.29615211486816,118.47968053817749,18387.0,25984.0,18.0,95.0,1.3263157894736841,126.0,80.0,93.3869116306305,47220.0
arvada,fol,dec-ase21-r0,1.0,0.39,0.5611510791366906,245.17679691314697,152.53943586349487,23225.0,28888.0,18.0,96.0,1.4375,138.0,80.0,24.157979011535645,24920.0
arvada,fol,dec-ase21-r0,1.0,1.0,1.0,235.68724966049194,149.5004017353058,22134.0,30820.0,15.0,92.0,1.423913043478261,131.0,80.0,61.058144092559814,45176.0
arvada,fol,dec-ase21-r0,1.0,1.0,1.0,255.49588251113892,158.01535892486572,24043.0,28392.0,19.0,98.0,1.4285714285714286,140.0,80.0,54.90271592140198,47760.0
arvada,fol,dec-ase21-r0,1.0,1.0,1.0,170.4010353088379,113.41115474700928,17504.0,25500.0,19.0,96.0,1.34375,129.0,80.0,89.27092695236206,45132.0
